playlist_id,name,description,url
37i9dQZF1EVHGWrwldPRtj,Chill Mix,"<a href=spotify:playlist:37i9dQZF1EIXO2BWVzsGss>Miguel</a>, <a href=spotify:playlist:37i9dQZF1EIV04O4nuL2vA>Hotel Ugly</a>, <a href=spotify:playlist:37i9dQZF1EIWebDwhi0Xn3>Steve Lacy</a> and more",https://open.spotify.com/playlist/37i9dQZF1EVHGWrwldPRtj
0eEX2KC5rDorZ192CqAU5j,chill,for inquiries pls email: hannah@craftplaylists.com &#x2F; this is the best collection of chill and relaxed sounds &#x2F; featuring Khalid,https://open.spotify.com/playlist/0eEX2KC5rDorZ192CqAU5j
37i9dQZF1EIfH4we62RxMe,Chill Late Night Mix,Chill Late Night music picked just for you,https://open.spotify.com/playlist/37i9dQZF1EIfH4we62RxMe
3FYTOVfZ2o2gTBUZ5SOZU5,| chill | ,Let&#x27;s get chilly this winter | submit@cuteplaylists.com,https://open.spotify.com/playlist/3FYTOVfZ2o2gTBUZ5SOZU5
6IKQrtMc4c00YzONcUt7QH,Chill  Vibes 2023 🌙,"Just chill &amp; relax... (Follow us on <a href=""https://www.instagram.com/electropose/"">Instagram @electropose</a>)",https://open.spotify.com/playlist/6IKQrtMc4c00YzONcUt7QH
37i9dQZF1DX8Uebhn9wzrS,chill lofi study beats,"The perfect study beats. Find your focus, crush your productivity. ",https://open.spotify.com/playlist/37i9dQZF1DX8Uebhn9wzrS
37i9dQZF1EIgoYQUuS02Ii,Chill Morning Mix,Chill Morning music picked just for you,https://open.spotify.com/playlist/37i9dQZF1EIgoYQUuS02Ii
3ZpIj5y0TyR3jfH45ENiIT,Chill,Featuring new artists weekly. Submissions open. | contact@varsityplaylists.com,https://open.spotify.com/playlist/3ZpIj5y0TyR3jfH45ENiIT
37i9dQZF1EIdifkW9PRMJa,Chill Rap Mix,Chill Rap music picked just for you,https://open.spotify.com/playlist/37i9dQZF1EIdifkW9PRMJa
37i9dQZF1DWTkxQvqMy4WW,Chillin' on a Dirt Road,Country music to get you back to the basics.,https://open.spotify.com/playlist/37i9dQZF1DWTkxQvqMy4WW
4nMkjATDqJu3j3LHSt3g31,Chill Rap songs 2023 😴🍃,Chill rap.,https://open.spotify.com/playlist/4nMkjATDqJu3j3LHSt3g31
37i9dQZF1DX6VdMW310YC7,Chill Tracks,"Softer kinda <a href=""spotify:genre:edm_dance"">dance</a>.",https://open.spotify.com/playlist/37i9dQZF1DX6VdMW310YC7
37i9dQZF1EIfeeY1Nyg89M,Chill R&B Mix,Chill R&B music picked just for you,https://open.spotify.com/playlist/37i9dQZF1EIfeeY1Nyg89M
7hJfYpKLDQwmeHIPTmNS5y,chill songs everyone knows 🌙 relaxing music,best chill playlist - feel good music - emotional songs - calm music - sad songs - songs to fall asleep to - good vibes - sunday morning - chill out music - acoustic music - breakfast - picnic,https://open.spotify.com/playlist/7hJfYpKLDQwmeHIPTmNS5y
37i9dQZF1DX4WYpdgoIcn6,Chill Hits,Kick back to the best new and recent chill hits.,https://open.spotify.com/playlist/37i9dQZF1DX4WYpdgoIcn6
0bXnl4nRfTCUsykJjD6US4,chill r&b 🥰💫,"sza, jhene, summer walker, UMI, bryson tiller, etc.",https://open.spotify.com/playlist/0bXnl4nRfTCUsykJjD6US4
0cVGgvzNvZq6cd4Xy7yuJ8,Chill/Melodic Rap ❄️,"Chill, Melodic Rap, Hip-Hop, RnB (Drake, Kanye West, Kid Cudi, Juice WRLD, Travis Scott)",https://open.spotify.com/playlist/0cVGgvzNvZq6cd4Xy7yuJ8
37i9dQZF1DX889U0CL85jj,Chill Vibes,"Just chill, and potentially disassociate, in 2023. ",https://open.spotify.com/playlist/37i9dQZF1DX889U0CL85jj
37i9dQZF1EIdtA1IkngoSY,Chill House Mix,Chill House music picked just for you,https://open.spotify.com/playlist/37i9dQZF1EIdtA1IkngoSY
37i9dQZF1DXdLK5wjKyhVm,Chillhop,"Blissed out beats and head nodding grooves - Relax, study and vibe. ",https://open.spotify.com/playlist/37i9dQZF1DXdLK5wjKyhVm
75vcd9Ce7OfES4iN5Anw1L,chill christmas songs,the most chill christmas songs of all time. ,https://open.spotify.com/playlist/75vcd9Ce7OfES4iN5Anw1L
37i9dQZF1DX2UgsUIg75Vg,Chilled R&B,Chilled R&B jams for your most relaxed moods. Cover: Arin Ray,https://open.spotify.com/playlist/37i9dQZF1DX2UgsUIg75Vg
37i9dQZF1EIex3UX2uwNQF,Chill Winter Mix,Chill Winter music picked just for you,https://open.spotify.com/playlist/37i9dQZF1EIex3UX2uwNQF
62bReXvmroQzQfEUuTNe3Y,Chill House 2024,"Chill tracks to vibe or dance for 2024. Updated weekly. | 🌈 <a href=""https://www.instagram.com/selectedofficial"">Instagram</a>",https://open.spotify.com/playlist/62bReXvmroQzQfEUuTNe3Y
3ifpAaYdy3ajBhyQ2ZX60b,chill christmas vibes 2023🎄,"chill christmas holiday vibes, background party, instrumental xmas, winter, presents, gifts",https://open.spotify.com/playlist/3ifpAaYdy3ajBhyQ2ZX60b
37i9dQZF1DX0MLFaUdXnjA,Chill Pop,Keeping it lowkey with the best chill pop. Cover: Nessa Barrett,https://open.spotify.com/playlist/37i9dQZF1DX0MLFaUdXnjA
3cfxVpVrN8vF8gZ2tunCvL,Chill rap,Ballz,https://open.spotify.com/playlist/3cfxVpVrN8vF8gZ2tunCvL
37i9dQZF1DWTvNyxOwkztu,Chillout Lounge,Just lean back and enjoy relaxed beats.,https://open.spotify.com/playlist/37i9dQZF1DWTvNyxOwkztu
2uWwun7truPnvAaiux6JDX,Chill Songs for Car Drives🚗,"Chill R&amp;B Rap. Melodic Rap, Late Night Drives - Chill Songs, Chill HipHop, Car Vibes, Rap Songs, Car Drives🎶Songs from Drake, J. Cole, 21 Savage, Metro Boomin, Future, Kendrick Lamar, Frank Ocean &amp; Brent Faiyaz🎧For song submissions, <a href=""https://www.instagram.com/nilsmusiclab/"">CONTACT HERE</a>",https://open.spotify.com/playlist/2uWwun7truPnvAaiux6JDX
37i9dQZF1DX0khTY3HFA4M,Chill Instrumental Beats,Relaxing instrumental beats to chill to.,https://open.spotify.com/playlist/37i9dQZF1DX0khTY3HFA4M
2kg3XJlpeRL3MRgHwdAqB8,chill vibes n late night drives 💤🍃,"best chill rap ft. Drake, Polo G, Sleepy Hallow, etc. - follow me - reccomendations at spotify.bryantt@gmail.com",https://open.spotify.com/playlist/2kg3XJlpeRL3MRgHwdAqB8
37i9dQZF1EIgiitFgqAV5k,Chill Morning Relaxing Mix,Chill Morning Relaxing music picked just for you,https://open.spotify.com/playlist/37i9dQZF1EIgiitFgqAV5k
5VPZUHBIPpkemndQyBJ3U3,chill rap + rnb for the soul 2023,"unwind and listen to some slow tunes. perfect for late nights. drake, the weeknd, brent faiyaz, daniel caesar, partynextdoor, frank ocean, mac demarco, joji, blackbear, chris brown, ty dolla sign, giveon, jhene aiko, sampha, etc.",https://open.spotify.com/playlist/5VPZUHBIPpkemndQyBJ3U3
3qB2hYwp2YSg3lR05p1kcM,CHILL RAP VIBES 🫠😴,CHILL RAP VIBES ~ LATE NIGHT DRIVES ~ SESH SONGS ~ curated by @owen.martell,https://open.spotify.com/playlist/3qB2hYwp2YSg3lR05p1kcM
37i9dQZF1DX2vYju3i0lNX,Chilled Jazz,Mellow jazz to stay focused or unwind.,https://open.spotify.com/playlist/37i9dQZF1DX2vYju3i0lNX
37i9dQZF1EId0kxcZBQf7N,Chill Driving Mix,Chill Driving music picked just for you,https://open.spotify.com/playlist/37i9dQZF1EId0kxcZBQf7N
2V3LZ7Pjk6HNhlikDn4sl2,Chillhop Essentials Winter 2023,Winter vibes by Chillhop | listen to Chillhop Essentials Winter compilations here. ,https://open.spotify.com/playlist/2V3LZ7Pjk6HNhlikDn4sl2
39TyZRXaorrzrMk20COhdX,Chill vibes 🥱,"",https://open.spotify.com/playlist/39TyZRXaorrzrMk20COhdX
6vGKywnOyWTlYMluMmWF3Z,Chill Acoustic Instrumentals,Chill | Acoustic | Instrumental | Folk | Indie Folk | Work From Home | Calm | Calming | Mellow | Peaceful | Guitar | Piano | Cozy | Coffee | Hiking | Outdoors | Morning | Fall | Winter | Spring | Summer | Relaxing | No Words | Study | Focus | Chill | Reading | Journaling | Mindfulness | Wellness,https://open.spotify.com/playlist/6vGKywnOyWTlYMluMmWF3Z
2XF1Qyb2mk2bAi7D0cvhoz,Chill Drake Songs,"",https://open.spotify.com/playlist/2XF1Qyb2mk2bAi7D0cvhoz
37i9dQZF1DXccH49bh52dB,Chilled Dance Hits,The softer side of dance.,https://open.spotify.com/playlist/37i9dQZF1DXccH49bh52dB
4lipzgtz9pwpGFCgyMO8sK,Chillhop Essentials Fall 2023,"Chillhop Essentials Fall 2023 is our newest seasonal offering since launching the compilation series back in 2016. Lofi and soothing, jazzy and laid-back, press play as you watch the leaves fall.",https://open.spotify.com/playlist/4lipzgtz9pwpGFCgyMO8sK
37i9dQZF1EIe8uJuAVjMJL,Chill EDM Mix,Chill EDM music picked just for you,https://open.spotify.com/playlist/37i9dQZF1EIe8uJuAVjMJL
37i9dQZF1DX0SM0LYsmbMT,Jazz Vibes,The original chill instrumental beats playlist.,https://open.spotify.com/playlist/37i9dQZF1DX0SM0LYsmbMT
37i9dQZF1DX53b8g3ZSsaM,Lo Mejor De Mansión Reggaetón 2023,Las canciones de reggaeton que marcaron el año. Foto: Yng Lvcas & Peso Pluma.,https://open.spotify.com/playlist/37i9dQZF1DX53b8g3ZSsaM
37i9dQZF1DX1IeqVkK7Ebc,Chilled Pop Hits,Taking it down a notch and keeping the vibes on ice...,https://open.spotify.com/playlist/37i9dQZF1DX1IeqVkK7Ebc
37i9dQZF1DX9B1hu73DioC,Indie Chillout,Vibey indie tracks for just hanging out.,https://open.spotify.com/playlist/37i9dQZF1DX9B1hu73DioC
4x9OtLt7bsmvqktbF0Y0Gm,"lofi chill beats (sleep, study, relax) lofi hip hop music🎧","Lofi Chill beats 2023 - chilled lo-fi music/chillhop/hiphop/jazz vibes, instrumental <a href=""spotify:playlist:4ueznVvkK37XvcP8b5JWjr"">Christmas</a> lounge for studying, reading, working and relaxing the mind. Chillout/down-tempo sleeping rest stress relief",https://open.spotify.com/playlist/4x9OtLt7bsmvqktbF0Y0Gm
37i9dQZF1DWU0ScTcjJBdj,Relax & Unwind,Let your worries and cares slip away.,https://open.spotify.com/playlist/37i9dQZF1DWU0ScTcjJBdj
37i9dQZF1EIeQG8xzHUNqL,Mellow Rock Mix,Mellow Rock music picked just for you,https://open.spotify.com/playlist/37i9dQZF1EIeQG8xzHUNqL
37i9dQZF1DX2TRYkJECvfC,Deep House Relax,"Forget it and disappear with deep & melodic <a href=""spotify:genre:edm_dance"">house</a>.",https://open.spotify.com/playlist/37i9dQZF1DX2TRYkJECvfC
76KsSbQCwEPojbkXEljzdz,"laying in bed, chill soft songs before sleeping 💤 ",chill songs to lay in bed thinking about anything and everything at the same time. ,https://open.spotify.com/playlist/76KsSbQCwEPojbkXEljzdz
37i9dQZF1DWZ7ED4HoeZTx,Slice of Life ,Your chill anime soundtrack. ,https://open.spotify.com/playlist/37i9dQZF1DWZ7ED4HoeZTx
4ZI53u97qHxIo27hbClQ7L,Chill Country,"Slow, chill, relaxing, and sad country songs",https://open.spotify.com/playlist/4ZI53u97qHxIo27hbClQ7L
37i9dQZF1DWUvHZA1zLcjW,Chilled Classical,Chilled classical tunes to help you relax and unwind.,https://open.spotify.com/playlist/37i9dQZF1DWUvHZA1zLcjW
